id,price,area,bedrooms,wc,n_floors,car_place,latitude,longitude
120211,5.1,44,3.0,2.0,2.0,0,10.7552212,106.6281657
120212,2.45,64,2.0,1.0,2.0,0,10.8397,106.77093
120216,2.44,64,2.0,1.0,2.0,0,10.8397,106.77093
120217,6.0,80,3.0,2.0,1.0,0,10.7652659,106.6037849
120219,2.85,76,2.0,2.0,4.0,0,10.7560913,106.7095306
120258,5.0,60,4.0,3.0,2.0,1,10.8397,106.77093
120260,6.35,52,3.0,2.0,2.0,1,10.8145634,106.6788609
120261,8.1,40,3.0,3.0,3.0,0,10.7807442,106.700454
120265,3.9,30,2.0,2.0,3.0,1,10.7794346,106.6779732
120233,6.35,40,3.0,3.0,4.0,1,10.8105818,106.6901783
120236,8.1,40,2.0,3.0,3.0,1,10.7807442,106.700454
120253,4.6,28,2.0,2.0,1.0,1,10.7638821,106.6757725
120256,4.6,28,2.0,2.0,1.0,1,10.7638821,106.6757725
120155,5.0,60,4.0,3.0,2.0,1,10.8397,106.77093
120162,0.008,120,2.0,1.0,2.0,1,10.8222064,106.6313729
120165,3.68,17,3.0,3.0,1.0,0,10.7602452,106.6611125
120167,0.008,120,2.0,1.0,2.0,1,10.8222064,106.6313729
120168,3.85,32,2.0,2.0,2.0,1,10.85778,106.74111
120169,4.95,24,3.0,4.0,5.0,1,10.8380478,106.6521633
120177,7.2,60,4.0,3.0,3.0,1,10.8025,106.66
120123,3.83,40,3.0,2.0,2.0,1,10.7606353,106.7081442
120125,4.0,31,2.0,3.0,2.0,0,10.7602241,106.6710981
120136,4.2,38,3.0,2.0,3.0,1,10.7835115,106.6036208
120137,4.2,63,3.0,3.0,2.0,1,10.7612598,106.7008688
120138,6.6,65,2.0,2.0,1.0,0,10.79883,106.62324
120144,4.7,23,2.0,2.0,1.0,0,10.7638821,106.6757725
120153,3.8,30,4.0,4.0,4.0,0,10.7677829,106.6731111
120111,8.8,60,3.9827455368625326,4.4991718088499235,4.0,1,10.7701893,106.6317357
120112,3.0,64,2.0,3.0,1.0,0,10.8428486,106.6309776
120113,5.7,86,1.0,1.0,2.0,0,10.7482816,106.6817654
120115,7.4,84,3.8910981174592383,3.9300150542319976,2.0,1,10.7892885,106.6180436
120117,3.6,40,4.0,3.0,1.0,0,10.8185798,106.688051
120118,9.2,70,4.157607225821306,4.338670096695862,2.0,1,10.7941456,106.6222286
120119,4.4,45,3.0,3.0,2.0,1,10.8548235,106.6560004
120120,5.5,82,3.0,4.0,3.0,1,10.8548235,106.6560004
120122,0.09,47,1.8670001118710742,1.6575106142021143,3.0,0,10.8170764,106.7315493
120089,3.5,32,2.0,2.0,2.0,0,10.7520497,106.6388595
