	id	price	area	bedrooms	wc	n_floors	car_place	house_orientation	furniture	facade	legal	street	district	type	date	address	latitude	longitude
3752	98983		25	2.0	2.0	2.0	False			True		tạ quang bửu	quận 8	tin thường	10/06/2023	tạ quang bửu, quận 8	10.7324304	106.6513555
3753	98727	9.8	56	3.0	4.0	5.0	True			False			quận 3	tin thường	07/06/2023	quận 3	10.778639	106.6870156
3754	97447	0.009	87	3.0	2.0		False			False		đường võ chí công	quận 9	tin thường	23/05/2023	đường võ chí công, quận 9	10.8397	106.77093
3755	96679	5.4	48	3.0	3.0	1.0	True			False		huỳnh thiện lộc	tân phú	tin thường	12/05/2023	huỳnh thiện lộc, tân phú	10.7798557	106.6380853
3756	96423	4.2	32	6.0		5.0	True			False			bình tân	tin thường	09/05/2023	bình tân	10.7703708	106.5996353
3757	95911	5.8	56	6.0	6.0	5.0	False			True		tân kỳ tân quý	tân phú	tin thường	29/04/2023	tân kỳ tân quý, tân phú	10.8043144	106.631956
3758	94887	4.5	66			2.0	False			False			quận 10	tin thường	14/04/2023	quận 10	10.772732	106.6683666
3759	93351	1.4	100	3.0	2.0		False			False			quận 8	tin thường	27/03/2023	quận 8	10.7217236	106.6296151
3760	92071	3.6	54	2.0	2.0	2.0	True			False		tăng nhơn phú	quận 9	tin thường	11/03/2023	tăng nhơn phú, quận 9	10.8397	106.77093
3761	110247	5.8	92	3.0	3.0	2.0	True			True			tân phú	tin thường	11/10/2023	tân phú	10.7914967	106.6278431
3762	110759	26.0	215	4.0	4.0	3.0	True			True		đường nguyễn trãi	quận 9	tin thường	16/10/2023	đường nguyễn trãi, quận 9	10.8397	106.77093
3763	87464	4.2	60	2.0	2.0	1.0	False			False		võ văn ngân	thủ đức	tin thường	24/12/2022	võ văn ngân, thủ đức	10.8501417	106.7674439
3764	97704	1.69	27	1.0	2.0	1.0	False			False		thành phố hồ chí minh	tân bình	tin thường	24/05/2023	thành phố hồ chí minh, tân bình	10.7704304	106.650936
3765	97192	0.009	75	3.0	2.0		False			False		liên phường	quận 9	tin thường	21/05/2023	liên phường, quận 9	10.7419664	106.651399
3766	96424	4.8	64	4.0	3.0	3.0	True			False			bình tân	tin thường	09/05/2023	bình tân	10.7703708	106.5996353
3767	95400	5.25	31	3.0	3.0	3.0	True	đông-bắc		False		518/20/3	quận 1	tin thường	21/04/2023	518/20/3, quận 1	10.7583381	106.690083
3768	92584	4.3	61				True			False			bình tân	tin thường	17/03/2023	bình tân	10.7703708	106.5996353
3769	90024	4.25	45	2.0	3.0	1.0	False	đông		False		tăng bạt hổ	bình thạnh	tin thường	17/02/2023	tăng bạt hổ, bình thạnh	10.8109552	106.6939936
3770	89512	21.0	163	3.0	2.0	1.0	True			False		đỗ xuân hợp	quận 9	tin thường	10/02/2023	đỗ xuân hợp, quận 9	10.8397	106.77093
3771	89000	2.5	67	2.0	2.0		False			False		đường võ chí công	quận 9	tin thường	03/02/2023	đường võ chí công, quận 9	10.8397	106.77093
3772	87976	8.0	56	4.0	3.0	3.0	False			False			gò vấp	tin thường	02/01/2023	gò vấp	10.8306171	106.6779308
3773	87720	0.04	90	2.0	1.0		False			True			quận 2	tin thường	28/12/2022	quận 2	10.779419	106.7308381
3774	86440	1.75	40	2.0	2.0	1.0	False			False			quận 3	tin thường	14/12/2022	quận 3	10.778639	106.6870156
3775	112039		38			2.0	False			False		nguyễn ngọc lộc	quận 10	tin thường	31/10/2023	nguyễn ngọc lộc, quận 10	10.7672231	106.6632752
3776	86184	0.005	67	2.0	2.0		False			False		đường võ chí công	quận 9	tin thường	08/12/2022	đường võ chí công, quận 9	10.8397	106.77093
3777	85160	9.99	77	4.0	3.0	3.0	False			True			gò vấp	tin thường	02/12/2022	gò vấp	10.8306171	106.6779308
