Cluster,n_floors,area,id,car_place,wc,bedrooms,Distance to center 1,price
1,2.0,44,120211,0,2.0,3.0,4.768302351801704,5.1
0,2.0,64,120212,0,1.0,2.0,14.595223518914844,2.45
0,2.0,64,120216,0,1.0,2.0,14.595223518914844,2.44
1,1.0,80,120217,0,2.0,3.0,5.571107569435144,6.0
0,4.0,76,120219,0,2.0,2.0,8.207788419702208,2.85
0,2.0,60,120258,1,3.0,4.0,14.595223518914844,5.0
1,2.0,52,120260,1,2.0,3.0,4.272764395120498,6.35
0,3.0,40,120261,0,3.0,3.0,6.204661726785477,8.1
1,3.0,30,120265,1,2.0,2.0,3.9346085877772365,3.9
1,4.0,40,120233,1,3.0,3.0,5.200283003564136,6.35
0,3.0,40,120236,1,3.0,2.0,6.204661726785477,8.1
1,1.0,28,120253,1,2.0,2.0,3.8151736288941187,4.6
1,1.0,28,120256,1,2.0,2.0,3.8151736288941187,4.6
0,2.0,60,120155,1,3.0,4.0,14.595223518914844,5.0
1,2.0,120,120162,1,1.0,2.0,3.4316448574986276,0.008
1,1.0,17,120165,0,3.0,3.0,4.18722213016832,3.68
1,2.0,120,120167,1,1.0,2.0,3.4316448574986276,0.008
0,2.0,32,120168,1,2.0,2.0,12.591257892338866,3.85
1,5.0,24,120169,1,4.0,3.0,5.142943264946826,4.95
1,3.0,60,120177,1,3.0,4.0,1.8172984557359133,7.2
0,2.0,40,120123,1,2.0,3.0,7.822831426744451,3.83
1,2.0,31,120125,0,3.0,2.0,4.741026396615923,4.0
1,3.0,38,120136,1,2.0,3.0,4.7306348565377885,4.2
0,2.0,63,120137,1,3.0,3.0,7.100715584165578,4.2
1,1.0,65,120138,0,2.0,2.0,2.4689440006132712,6.6
1,1.0,23,120144,0,2.0,2.0,3.8151736288941187,4.7
1,4.0,30,120153,0,4.0,4.0,4.247131543770014,3.8
1,4.0,60,120111,1,4.490163473407812,3.9827377029227735,3.099949120924564,8.8
1,1.0,64,120112,0,3.0,2.0,5.5917203368539,3.0
1,2.0,86,120113,0,1.0,1.0,10.840459746075222,5.7
1,2.0,84,120115,1,3.903385403421333,3.891090799604026,3.0493918872764776,7.4
1,1.0,40,120117,0,3.0,4.0,5.36428871739438,3.6
1,2.0,70,120118,1,4.289288296228828,4.157601320936855,2.5348803272773193,9.2
1,2.0,45,120119,1,3.0,3.0,6.794588917964383,4.4
1,3.0,82,120120,1,4.0,3.0,6.794588917964383,5.5
0,3.0,47,120122,0,1.5979799248343023,1.8669881493773768,9.732294769166744,0.09
1,2.0,32,120089,0,2.0,2.0,4.786264357450474,3.5
1,4.0,30,120097,0,4.0,4.0,4.247131543770014,3.8
1,4.0,55,120103,1,4.0,4.0,4.285089719649691,4.0
1,2.0,56,119994,1,4.166764443075888,3.794524053968536,1.2976084680010287,8.1
1,3.0,55,119995,0,4.0,3.0,3.695639137569846,9.9
1,3.0,55,119996,1,4.0,3.0,3.9346085877772365,9.9
0,1.0,103,119997,1,2.892053402366068,3.946025254743821,13.00123440312854,6.88
0,1.0,32,120039,0,2.0,2.0,12.591257892338866,3.6
1,3.0,107,120041,1,4.009150716243804,4.0,4.7306348565377885,7.75
1,3.0,54,120043,0,2.2466214111506133,3.0,5.8473684291416,3.6
1,4.0,63,120044,0,5.0,4.0,4.7306348565377885,5.6
1,1.0,40,120049,1,2.0,2.0,5.227162593063946,3.9
1,2.0,99,120050,1,1.0,3.0,5.988251327531678,5.73
1,2.0,68,120051,0,2.0,2.0,2.9770872220346094,4.7
1,2.0,120,120054,1,4.0,4.0,9.879390742568646,11.0
0,2.0,99,120055,1,2.0,3.0,9.832401516867627,0.015
1,2.0,72,120058,1,4.0,3.0,7.188720758947272,11.3
1,3.0,30,120061,0,3.0,3.0,4.247131543770014,5.28
1,3.0,43,120070,1,3.0,4.0,4.931681882994165,3.4
