id	price	area	bedrooms	wc	n_floors	car_place	house_orientation	furniture	facade	legal	street	district	type	date	location2
121077	3.539	50	2	3	1	True			False	sổ đỏ/ sổ hồng	lê văn sỹ	quận 3	tin thường	01/10/2024	lê văn sỹ
121078	3.59	56	4.0	3.0	2	True	đông nam		False	sổ đỏ/ sổ hồng	lê văn thọ	gò vấp	tin thường	01/10/2024	đường lê văn thọ, 8
115886	13.5	105	3.0	3.0	1	False			False	sổ đỏ/ sổ hồng		quận 10	tin thường	23/07/2024	thanh thai, phuong 14
115887	13.5	105	3.0	3.0	1	False			False	sổ đỏ/ sổ hồng		quận 10	tin thường	23/07/2024	thanh thai, phuong 14
115889	13.5	105	3.0	3.0	1	False			False	sổ đỏ/ sổ hồng		quận 10	tin thường	23/07/2024	thanh thai, phuong 14
115890	13.5	105	3.0	3.0	1	False			False	sổ đỏ/ sổ hồng		quận 10	tin thường	23/07/2024	thanh thai, phuong 14
121002	33.0	275	4.0	4.0	3	True			True	sổ đỏ/ sổ hồng	lê thị riêng	quận 12	tin thường	01/10/2024	đường lê thị riêng, thới an
115928	13.9	51	3.0	2.0	1	False	đông nam		True	sổ đỏ/ sổ hồng	vĩnh viễn	quận 10	tin thường	25/07/2024	vĩnh viễn p6 q10
120886	20.0	400				False			False	sổ đỏ/ sổ hồng	số 1	quận 7	tin thường	30/09/2024	đường 1, tân quy
120892	36.0	90	8.0	10.0	3	False			True	sổ đỏ/ sổ hồng	lý chính thắng	quận 3	tin thường	30/09/2024	đường lý chính thắng, 8
120906	9.5	56	5.0	5.0	2	False			False	sổ đỏ/ sổ hồng	ung văn khiêm	bình thạnh	tin thường	30/09/2024	đường ung văn khiêm, 25
120909	6.0	84	2.0	2.0		False			False	sổ đỏ/ sổ hồng	nguyễn xiển	quận 9	tin thường	30/09/2024	đường nguyễn xiển, long thạnh mỹ
120910	25.5	96	6.0	5.0	3	True			True	sổ đỏ/ sổ hồng	thành thái	quận 10	tin thường	30/09/2024	đường thành thái, 14
120911	4.95	33	3.0	4.0	3	True			False	sổ đỏ/ sổ hồng	cách mạng tháng 8	quận 10	tin thường	30/09/2024	đường cách mạng tháng tám, 13
120913	8.7	54	3.0	4.0	3	True			True	sổ đỏ/ sổ hồng	trần minh quyền	quận 10	tin thường	30/09/2024	đường trần minh quyền, 10
120915	25.0	288	1.0	1.0		False			True	sổ đỏ/ sổ hồng	nguyễn ảnh thủ	quận 12	tin thường	30/09/2024	đường nguyễn ảnh thủ, tân chánh hiệp
120916	18.0	150	5.0	5.0	6	False			True	sổ đỏ/ sổ hồng	nguyễn oanh	gò vấp	tin thường	30/09/2024	đường nguyễn oanh, 17
120923	23.0	104	3.0	3.0	2	False			True	sổ đỏ/ sổ hồng	tô ký	quận 12	tin thường	30/09/2024	đường tô ký, đông hưng thuận
120924	5.35	54	2.0	2.0	1	True			False	sổ đỏ/ sổ hồng	nguyễn văn nghi	gò vấp	tin thường	30/09/2024	đường nguyễn văn khối, 11
120932	31.5	93	16.0	18.0	4	False			True	sổ đỏ/ sổ hồng	nguyễn văn đậu	bình thạnh	tin thường	30/09/2024	đường nguyễn văn thương, 25
120936	3.95	36	2.0	2.0	2	False			True	sổ đỏ/ sổ hồng	liên khu 8-9	bình tân	tin thường	30/09/2024	đường liên khu 8-9, bình hưng hòa a
120940	4.5	48	2.0	2.0	2	True			True	sổ đỏ/ sổ hồng	gò dầu	tân phú	tin thường	30/09/2024	đường gò dầu, tân quý
120941	9.0	270	4.0	5.0	3	True			True	sổ đỏ/ sổ hồng	nguyễn oanh	gò vấp	tin thường	30/09/2024	đường nguyễn oanh, 17
